code_506,icd10,name_en,name_th,name_th_pdf
01,A00,Cholera,อหิวาตกโรค,อหิวำตกโรค
02,A04,"A04.0–A04.9, Acute diarrhea",โรคอุจจาระร่วงเฉียบพลัน,โรคอุจจำระร่วงเฉียบพลัน
03,A02,Food poisoning,อาหารเป็นพิษ,อำหำรเป็นพิษ
05,A03,"Shigellosis dysentery, Bacillary",โรคบิดจากเชื้อชิเกลลา,โรคบิดจำกเชื้อชิเกลลำ
06,A06,"A06.0-A06.9 Amoebic dysentery, Amoebiasis",โรคบิดมีตัวหรือโรคบิดจากเชื้ออะมีบา,โรคบิดมีตัวหรือโรคบิดจำก
07,A01,Enteric fever,ไข้เอนเทอริค,ไข้เอนเทอริค
08,A01.0,Typhoid fever,ไข้ไทฟอยด์หรือไข้รากสาดน้อย,ไข้ไทฟอยด์หรือ
09,A01.1–A01.4,Paratyphoid fever,ไข้พาราไทฟอยด์หรือไข้รากสาดเทียม,ไข้พำรำไทฟอยด์หรือไข้
10,B17.8–B17.9,Unspecified viral hepatitis,โรคไวรัสตับอักเสบไม่ระบุชนิด,โรคไวรัสตับอักเสบไม่ระบุ
11,B15,Acute hepatitis A Virus,โรคไวรัสตับอักเสบเฉียบพลัน ชนิด เอ,โรคไวรัสตับอักเสบ
12,B16.0–B16.2,Acute hepatitis B Virus,โรคไวรัสตับอักเสบเฉียบพลัน ชนิด บี,โรคไวรัสตับอักเสบ
13,B17.1,Acute hepatitis C Virus,โรคไวรัสตับอักเสบเฉียบพลัน ชนิด ซี,โรคไวรัสตับอักเสบ
14,A36.86,Conjunctivitis,โรคตาแดงจากไวรัส,โรคตำแดง                   -ปรับรำยละเอียด
15,J10-J11,"Influenza, (Flu)",ไข้หวัดใหญ่,ไข้หวัดใหญ่
16,B06,Rubella,"ไข้หัดเยอรมัน, ไข้หัดเยอรมันที่ไม่มีโรคแทรกซ้อน, ไข้หัดเยอรมันที่มีโรคแทรกซ้อน",ไข้หัดเยอรมัน               -ให้รำยงำนข้อมูล
17,B01.0–B01.2,"Varicella, Chickenpox",โรคสุกใส หรือโรคอีสุกอีใส,โรคสุกใสหรือ
18,R50.8,Fever of unknown origin: FUO,ไข้ไม่ทราบสาเหตุ,ไข้ไม่ทรำบสำเหตุ
19,A39.0,Meningococcal meningitis,ไข้กาฬหลังแอ่น,ไข้กำฬหลังแอ่น
20,A80.0-A80.4,Poliomyelitis,โรคโปลิโอ,โรคโปลิโอ
21,B05.9,Measles,ไข้หัดที่ไม่มีโรคแทรกซ้อน,ไข้หัดที่ไม่มีโรคแทรกซ้อน   -ให้รำยงำนข้อมูล
22,B05.0–B05.4,Measles with complication,ไข้หัดที่มีโรคแทรกซ้อน,ไข้หัดที่มีโรคแทรกซ้อน
23,A36.0–A36.3,Diphtheria,โรคคอตีบ,โรคคอตีบ
24,A37.0,Pertussis,โรคไอกรน,โรคไอกรน
25,A34,Tetanus,โรคบาดทะยัก,โรคบำดทะยัก
26,A91.1,Dengue hemorrhagic fever (DHF),ไข้เลือดออก,ไข้เลือดออก             - ICD-10 เดิม
27,A91.0,Dengue shock syndrome (DSS),ไข้เลือดออกช็อก,ไข้เลือดออกช็อก         - ICD-10 เดิม
28,A32.1,Encephalitis,ไข้สมองอักเสบ,ไข้สมองอักเสบ           -ปรับเพิ่ม ICD-10
29,A83.0,"Japanese B encephalitis, J.E.",ไข้สมองอักเสบเจแปนนิส,ไข้สมองอักเสบเจแปนนิส
30,B50.0,Malaria,ไข้มาลาเรีย,ไข้มำลำเรีย           -ตัดกำรจำแนก
31,J12.0,Pneumonia,โรคปอดอักเสบ,โรคปอดอักเสบหรือ
35,A30.0–A30.5,Leprosy,โรคเรื้อน,โรคเรื้อน
37,A50.0–A50.7,Syphilis,"โรคซิฟิลิส, โรคซิฟิลิสแต่กำเนิด",โรคซิฟิลิส
38,A54.0–A54.6,Gonorrhea,โรคหนองใน,โรคหนองใน
39,A56.0–A56.4,Non Gonococcal Urethritis (NGU),โรคหนองในเทียม,โรคหนองในเทียม
40,A57,Chancroid,โรคแผลริมอ่อน,โรคแผลริมอ่อน
41,A55,Lymphogranuloma venereum,กามโรคของต่อมและท่อน้ำเหลือง,กำมโรคของต่อมและ
42,A82,"Rabies, Hydrophobia",โรคพิษสุนัขบ้า หรือโรคกลัวน้ำ,โรคพิษสุนัขบ้ำ หรือ   -เพิ่มรำยละเอียด
43,A27.0,"Leptospirosis, Wei’s disease",โรคเลปโตสไปโรสิส,โรคเลปโตสไปโรสิส      - ตัด 1 รหัสกำร
44,A75.3,Scrub typhus,โรคสครับไทฟัส,โรคสครับไทฟัส        -ตัด 3 รหัส
45,A22.0,Anthrax,โรคแอนแทรกซ์,โรคแอนแทรกซ์
46,B75,"Trichinosis, Trichinellosis, Trichiniasis",โรคทริคิโนสิส,โรคทริคิโนสิส
52,B26.0–B26.3,Mumps,โรคคางทูม,โรคคำงทูม
53,A33,Neonatal Tetanus,โรคบาดทะยักในเด็กแรกเกิด,โรคบำดทะยักในเด็ก
54,A32.1,Unspecified meningitis,เยื่อหุ้มสมองอักเสบ,เยื่อหุ้มสมองอักเสบ   -ปรับชื่อโรค
55,B83.2,Eosinophilic meningitis,เยื่อหุ้มสมองอักเสบ จากพยาธิ,เยื่อหุ้มสมองอักเสบ
58,T62.0,Mushroom poisoning,โรคอาหารเป็นพิษจากเห็ด,รับประทำนเห็ดมีพิษ
65,,,โรคอัมพาตกล้ามเนื้ออ่อนปวกเปียกเฉียบพลัน,
66,A90,Dengue fever (DF),ไข้เด็งกี,ไข้เด็งกี               -ปรับชื่อโรค
68,B55.0,Leishmaniasis,โรคลิซมาเนีย,โรคลิชมำเนีย          -ปรับแก้ไข
69,B17.0,Acute hepatitis D virus,โรคไวรัสตับอักเสบเฉียบพลัน ชนิด ดี,โรคไวรัสตับอักเสบ
70,B17.2,Acute hepatitis E virus,โรคไวรัสตับอักเสบเฉียบพลัน ชนิด อี,โรคไวรัสตับอักเสบ
71,B08.4,Hand foot and mouth disease,โรคมือเท้าปาก,โรคมือเท้ำปำก
72,A24.1–A24.4,Melioidosis,โรคเมลิออยโดสิส,โรคเมลิออยโดสิส
74,A38,Scarlet fever,ไข้ดำแดง,ไข้ดำแดง
75,B66.0,Liver fluke,โรคพยาธิใบไม้ตับ,โรคพยำธิใบไม้ตับ
76,B74.0–B74.2,Lymphatic filariasis,โรคเท้าช้าง,โรคเท้ำช้ำง                 ตัด ICD-10:
79,A60.0–A60.1,Anogenital Herpes,โรคเริมของอวัยวะสืบพันธุ์และทวารหนัก,โรคเริมของอวัยวะสืบพันธุ์
80,A63.0,Condyloma acuminata,โรคหูดอวัยวะเพศและทวารหนัก,หรือ                       โรคหูดอวัยวะเพศและทวำร
82,,,โรคติดเชื้อสเตร็พโตคอคคัสซูอิส,
83,A23.0,Brucellosis,โรคบรูเซลโลสิส,โรคบรูเซลโลสิส
84,A92.0,Chikungunya fever,ไข้ปวดข้อยุงลาย,ไข้ปวดข้อยุงลำย                           -ปรับรำยละเอียด
85,A05.1,Botulism,โรคโบทูลิซึม,โรคโบทูลิซึม
87,A92.5,Zika virus disease,โรคติดเชื้อไวรัสซิกา,โรคติดเชื้อไวรัสซิกำ   -แก้ไขชื่อ
90,A85.0,Enterovirus Fever,ไข้เอนเทอโรไวรัส,ไข้เอนเทอโรไวรัส
91,J09,Avian Influenza,ไข้หวัดนก,ไข้หวัดนก
92,U07.1,Coronavirus disease 2019 (COVID-19),โรคติดเชื้อไวรัสโคโรนา 2019,โรคติดเชื้อไวรัสโคโรนำ   -ปรับรำยละเอียด
93,P35.0,Congenital rubella syndrome,ไข้หัดเยอรมันแต่กำเนิด,ไข้หัดเยอรมันแต่กำเนิด   -ให้รำยงำนข้อมูล
94,B04,Mpox,ไข้ฝีดาษวานร,โรคฝีดำษวำนร
95,A48.1,Legionnaires' disease,โรคลีเจียนแนร์,ลีเจียนแนร์                 แยกออกมำจำก
96,B97.4,RSV (Respiratory Syncytial Virus),โรคติดเชื้อไวรัสอาร์เอสวี,โรคติดเชื้อไวรัสอำร์เอสวี   แยกออกมำจำกโรค
98,B08.2,Viral exanthem,ไข้ออกผื่น,ไข้ออกผื่น                  เพิ่มกำรรำยงำน
201,Z581,Exposure to air,โรคที่เกิดจากการสัมผัสมลพิษทางอากาศ,โรคที่เกิดจำกกำรสัมผัสมลพิษทำง        J44 Other chronic obstructive
202,J628,Pneumoconiosis due to,โรคฝุ่นจับปอดจากฝุ่นอื่นที่มีซิลิกา,โรคฝุ่นจับปอดจำกฝุ่นอื่นที่มีซิลิกำ
203,J65,Pneumoconiosis,โรคฝุ่นจับปอดร่วมกับวัณโรค,โรคฝุ่นจับปอดร่วมกับวัณโรค
204,J61,Pneumoconiosis due to,โรคฝุ่นจับปอดจากแร่ใยหินและเส้นใยแร่อื่น,โรคฝุ่นจับปอดจำกแร่ใยหินและเส้น
205,J920,Pleural plaque with,เยื่อหุ้มปอดหนาเป็นแผ่นร่วมกับมีแร่ใยหิน,เยื่อหุ้มปอดหนำเป็นแผ่นร่วมกับมีแร่
206,J948,Other specified pleural,ภาวะอื่นที่ระบุรายละเอียดของเยื่อหุ้มปอด,ภำวะอื่นที่ระบุรำยละเอียดของเยื่อ
207,C450,Mesothelioma of,มีโซทิลิโอมาของเยื่อหุ้มปอด,มีโซทิลิโอมำของเยื่อหุ้มปอด
208,T560,Lead and its,โรคจากตะกั่วและสารประกอบ,โรคจำกตะกั่วและสำรประกอบ              Y96 Work-related condition หรือ
209,X48.02,Accidental poisoning by,การเป็นพิษโดยอุบัติเหตุจากยาฆ่าศัตรูพืชและสัตว์ ที่บ้าน ขณะทำงานเพื่อรายได้,กำรเป็นพิษโดยอุบัติเหตุจำกยำฆ่ำ                 T600 Organophosphate and
210,X48.12,Accidental poisoning by,การเป็นพิษโดยอุบัติเหตุจากยาฆ่าศัตรูพืชและสัตว์ ที่สถานที่พักอาศัยรวม ขณะทำงานเพื่อรายได้,กำรเป็นพิษโดยอุบัติเหตุจำกยำฆ่ำ       T603 Herbicides and fungicides toxic
211,X48.22,Accidental poisoning by,การเป็นพิษโดยอุบัติเหตุจากยาฆ่าศัตรูพืชและสัตว์ ที่โรงเรียน/สถานที่สาธารณะ ขณะทำงานเพื่อรายได้,กำรเป็นพิษโดยอุบัติเหตุจำกยำฆ่ำ
212,X48.32,Accidental poisoning by,การเป็นพิษโดยอุบัติเหตุจากยาฆ่าศัตรูพืชและสัตว์ ที่สนามกีฬา ขณะทำงานเพื่อรายได้,กำรเป็นพิษโดยอุบัติเหตุจำกยำฆ่ำ
213,X48.42,Accidental poisoning by,การเป็นพิษโดยอุบัติเหตุจากยาฆ่าศัตรูพืชและสัตว์ ที่ถนนและทางหลวง ขณะทำงานเพื่อรายได้,กำรเป็นพิษโดยอุบัติเหตุจำกยำฆ่ำ
214,X48.52,Accidental poisoning by,การเป็นพิษโดยอุบัติเหตุจากยาฆ่าศัตรูพืชและสัตว์ ที่พื้นที่การค้าและการบริการ ขณะทำงานเพื่อรายได้,กำรเป็นพิษโดยอุบัติเหตุจำกยำฆ่ำ
215,X48.62,Accidental poisoning by,การเป็นพิษโดยอุบัติเหตุจากยาฆ่าศัตรูพืชและสัตว์ ที่พื้นที่อุตสาหกรรมและก่อสร้าง ขณะทำงานเพื่อรายได้,กำรเป็นพิษโดยอุบัติเหตุจำกยำฆ่ำ
216,X48.72,Accidental poisoning by,การเป็นพิษโดยอุบัติเหตุจากยาฆ่าศัตรูพืชและสัตว์ ที่ไร่นา ขณะทำงานเพื่อรายได้,กำรเป็นพิษโดยอุบัติเหตุจำกยำฆ่ำ
217,X48.82,Accidental poisoning by,การเป็นพิษโดยอุบัติเหตุจากยาฆ่าศัตรูพืชและสัตว์ ที่สถานที่อื่นที่ระบุรายละเอียด ขณะทำงานเพื่อรายได้,กำรเป็นพิษโดยอุบัติเหตุจำกยำฆ่ำ
218,X48.92,Accidental poisoning by,การเป็นพิษโดยอุบัติเหตุจากยาฆ่าศัตรูพืชและสัตว์ ที่สถานที่ไม่ระบุรายละเอียด ขณะทำงานเพื่อรายได้,กำรเป็นพิษโดยอุบัติเหตุจำกยำฆ่ำ
219,W81,Confined to or trapped,ถูกกักหรือติดอยู่ในสภาพแวดล้อมที่มีออกซิเจนต่ำ,ถูกกักหรือติดอยู่ในสภำพแวดล้อมที่
220,Y96,Work-related condition,ภาวะที่เกี่ยวกับการทำงาน,ภำวะที่เกี่ยวกับกำรทำงำน
221,Y97,Environmental,ภาวะที่เกี่ยวกับมลพิษในสิ่งแวดล้อม,ภำวะที่เกี่ยวกับมลพิษในสิ่งแวดล้อม
222,W88,Exposure to ionizing,การสัมผัสรังสีที่แตกตัวเป็นไอออน,กำรสัมผัสรังสีที่แตกตัวเป็นไอออน
223,Z57.1,Occupational exposure,การสัมผัสรังสีจากการทำงาน,กำรสัมผัสรังสีจำกกำรทำงำน
224,Z58.4,Exposure to radiation,การสัมผัสรังสี,กำรสัมผัสรังสี
301,A150,"Tuberculosis of lung\, confirmed by sputum",วัณโรคปอด ยืนยันด้วยผลการตรวจเสมหะโดยใช้กล้องจุลทรรศน์,วัณโรคปอด ยืนยันด้วยผลกำรตรวจเสมหะโดยใช้
302,A151,"Tuberculosis of lung\, confirmed by culture",วัณโรคปอด ยืนยันด้วยผลการเพาะเชื้อเท่านั้น,วัณโรคปอด ยืนยันด้วยผลกำรเพำะเชื้อเท่ำนั้น
303,A152,"Tuberculosis of lung\, confirmed",วัณโรคปอด ยืนยันด้วยผลการตรวจชิ้นเนื้อ,วัณโรคปอด ยืนยันด้วยผลกำรตรวจชิ้นเนื้อ
304,A153,"Tuberculosis of lung\, confirmed by",วัณโรคปอด ยืนยันโดยไม่ระบุวิธี,วัณโรคปอด ยืนยันโดยไม่ระบุวิธี
305,A16.0,"Tuberculosis of lung, bacteriologically and",วัณโรคปอด ผลการตรวจหาเชื้อและการตรวจชิ้นเนื้อเป็นลบ,วัณโรคปอด ผลกำรตรวจหำเชื้อและกำรตรวจชิ้น
306,A16.1,"Tuberculosis of lung, bacteriological and",วัณโรคปอด ไม่ได้ตรวจหาเชื้อและไม่ได้ตรวจชิ้นเนื้อ,วัณโรคปอด ไม่ได้ตรวจหำเชื้อและไม่ได้ตรวจชิ้นเนื้อ
307,A16.2,"Tuberculosis of lung, without mention of",วัณโรคปอด ไม่ระบุการยืนยันด้วยผลการตรวจหาเชื้อหรือการตรวจชิ้นเนื้อ,วัณโรคปอด ไม่ระบุกำรยืนยันด้วยผลกำรตรวจหำ
308,A170,Tuberculous meningitis (G01*),เยื่อหุ้มสมองอักเสบจากเชื้อวัณโรค,เยื่อหุ้มสมองอักเสบจำกเชื้อวัณโรค (G01*)
309,A171,Meningeal tuberculoma (G07*),ฝีวัณโรคเยื่อหุ้มสมอง,ฝีวัณโรคเยื่อหุ้มสมอง (G07*)
310,A16.3,Tuberculosis of intrathoracic lymph nodes,วัณโรคต่อมน้ำเหลืองในช่องอก ไม่ระบุการยืนยัน,วัณโรคต่อมน้ำเหลืองในช่องอก ไม่ระบุกำรยืนยัน
311,A16.4,"Tuberculosis of larynx, trachea and",วัณโรคกล่องเสียง ท่อลม และหลอดลม ไม่ระบุการยืนยัน,วัณโรคกล่องเสียง ท่อลม และหลอดลม ไม่ระบุกำร
312,A16.5,"Tuberculous pleurisy, without mention of",เยื่อหุ้มปอดอักเสบจากเชื้อวัณโรค ไม่ระบุการยืนยัน,เยื่อหุ้มปอดอักเสบจำกเชื้อวัณโรค ไม่ระบุกำรยืนยัน
313,A16.7,Primary respiratory tuberculosis without,วัณโรคระบบหายใจชนิดปฐมภูมิ ไม่ระบุการยืนยัน,วัณโรคระบบหำยใจชนิดปฐมภูมิ ไม่ระบุกำรยืนยัน
314,A16.8,"Other respiratory tuberculosis, without",วัณโรคระบบหายใจส่วนอื่น ไม่ระบุการยืนยัน,วัณโรคระบบหำยใจส่วนอื่น ไม่ระบุกำรยืนยันด้วย
315,A16.9,Respiratory tuberculosis unspecified,วัณโรคระบบหายใจ ไม่ระบุรายละเอียด ไม่ระบุการยืนยัน,วัณโรคระบบหำยใจ ไม่ระบุรำยละเอียด ไม่ระบุกำร
316,A178,Other tuberculosis of nervous system,วัณโรคที่ส่วนอื่นของระบบประสาท,วัณโรคที่ส่วนอื่นของระบบประสำท
317,A179,Tuberculosis of nervous system\,วัณโรคระบบประสาท ไม่ระบุรายละเอียด,วัณโรคระบบประสำท ไม่ระบุรำยละเอียด (G99.9*)
318,A154,Tuberculosis of intrathoracic lymph nodes\,วัณโรคต่อมน้ำเหลืองในช่องอก ยืนยันด้วยผลการตรวจ,วัณโรคต่อมน้ำเหลืองในช่องอก ยืนยันด้วยผลกำร
319,A155,"Tuberculosis of larynx\, trachea and",วัณโรคกล่องเสียง ท่อลม และหลอดลม ยืนยันด้วยผลการตรวจ,วัณโรคกล่องเสียง ท่อลม และหลอดลม ยืนยันด้วย
320,A156,"Tuberculous pleurisy\, confirmed",เยื่อหุ้มปอดอักเสบจากเชื้อวัณโรค ยืนยันด้วยผลการตรวจ,เยื่อหุ้มปอดอักเสบจำกเชื้อวัณโรค ยืนยันด้วยผลกำร
321,A157,"Primary respiratory tuberculosis\, confirmed",วัณโรคระบบหายใจชนิดปฐมภูมิ ยืนยันด้วยผลการตรวจ,วัณโรคระบบหำยใจชนิดปฐมภูมิ ยืนยันด้วยผลกำร
322,A158,"Other respiratory tuberculosis\, confirmed",วัณโรคระบบหายใจส่วนอื่น ยืนยันด้วยผลการตรวจ,วัณโรคระบบหำยใจส่วนอื่น ยืนยันด้วยผลกำร
323,A159,Respiratory tuberculosis unspecified\,วัณโรคระบบหายใจ ไม่ระบุรายละเอียด ยืนยันด้วยผลการตรวจ,วัณโรคระบบหำยใจ ไม่ระบุรำยละเอียด ยืนยันด้วย
324,A18,Tuberculosis of other organs,วัณโรคอวัยวะอื่น,วัณโรคอวัยวะอื่น
325,A180,Tuberculosis of bones and join,วัณโรคนอกปอด กระดูกและข้อ,วัณโรคนอกปอด กระดูกและข้อ
326,A1800,TUBERCULOSIS OF JAWS AND/OR TM TUBERCULOSIS OF JAWS AND/OR TM,วัณโรคขากรรไกร,
327,A181,Tuberculosis of genitourinary,วัณโรคนอกปอด ระบบสืบพันธุ์และระบบทางเดินปัสสาวะ,วัณโรคนอกปอด ระบบสืบพันธุ์และระบบทำงเดิน
328,A182,Tuberculous peripheral lymphad,วัณโรคนอกปอด ต่อมน้ำเหลืองส่วนปลาย,วัณโรคนอกปอด ต่อมน้ำเหลืองส่วนปลำย
329,A183,"Tuberculosis of intestines, pe",วัณโรคนอกปอด ลำไส้ เยื่อบุช่องท้อง,วัณโรคนอกปอด ลำไส้ เยื่อบุช่องท้อง
330,A184,Tuberculosis of skin and subcu,วัณโรคนอกปอด ผิวหนัง,วัณโรคนอกปอด ผิวหนัง
331,A185,Tuberculosis of eye,วัณโรคนอกปอด ตา,วัณโรคนอกปอด ตำ
332,A186,Tuberculosis of ear,วัณโรคนอกปอด หู,วัณโรคนอกปอด หู
333,A187,Tuberculosis of adrenal glands,วัณโรคนอกปอด ต่อมหมวกไต,วัณโรคนอกปอด ต่อมหมวกไต
334,A188,Tuberculosis of other specified,วัณโรคนอกปอด อวัยวะอื่นๆไม่ระบุ,วัณโรคนอกปอด อวัยวะอื่นๆไม่ระบุ
335,A19,Miliary tuberculosis,วัณโรคชนิดแพร่กระจายเป็นจุดเล็กๆ,วัณโรคชนิดแพรกระจำยเป็นจุดเล็กๆ
336,A190,Acute miliary tuberculosis of a single,วัณโรคแพร่กระจายเป็นจุดเล็กๆ เฉียบพลันตำแหน่งเดียว,วัณโรคแพรกระจำยเป็นจุดเล็กๆ เฉียบพลันตำแหน่ง
337,A191,Acute miliary tuberculosis of multiple sites,วัณโรคแพร่กระจายเป็นจุดเล็กๆ เฉียบพลันหลายตำแหน่ง,วัณโรคแพรกระจำยเป็นจุดเล็กๆ เฉียบพลันหลำย
338,A192,"Acute miliary tuberculosis, Unspecified",วัณโรคชนิดแพร่กระจายเป็นจุดเล็กๆ เฉียบพลันที่ไม่ระบุรายละเอียด,วัณโรคชนิดแพรกระจำยเป็นจุดเล็กๆ เฉียบพลันที่ไม่
339,A198,Other miliary tuberculosis,วัณโรคชนิดแพร่กระจายเป็นจุดเล็กๆ แบบอื่น,วัณโรคชนิดแพรกระจำยเป็นจุดเล็กๆ แบบอื่น
340,A199,"Miliary tuberculosis, unspecified",วัณโรคชนิดแพร่กระจายเป็นจุดเล็กๆ ไม่ระบุรายละเอียด,วัณโรคชนิดแพรกระจำยเป็นจุดเล็กๆ ไมระบุ
341,J65,Pneumoconiosis associated with,โรคฝุ่นจับปอดร่วมกับวัณโรค,โรคฝุ่นจับปอดร่วมกับวัณโรค
342,M49.0,Tuberculosis of spine,วัณโรคของกระดูกสันหลัง,วัณโรคของกระดูกสันหลัง (A18.0+)
343,M01.1,Tuberculous arthritis,ข้ออักเสบจากวัณโรค,ข้ออักเสบจำกวัณโรค (A18.0+)
344,M90.0,Tuberculosis of bone,วัณโรคกระดูก,วัณโรคกระดูก (A18.0+)
345,K67.3,Tuberculous peritonitis,เยื่อบุช่องท้องอักเสบจากวัณโรค,เยื่อบุช่องท้องอักเสบจำกวัณโรค (A18.3+)
346,K23.0,Tuberculous oesophagitis,หลอดอาหารอักเสบจากวัณโรค,หลอดอำหำรอักเสบจำกวัณโรค (A18.8+)
347,K93.0,Tuberculous disorders of intestines,ความผิดปกติของลำไส้ เยื่อบุช่องท้อง และต่อมเยื่อแขวนลำไส้จากวัณโรค,ควำมผิดปกติของลำไสเยื่อบุช่องท้อง และต่อมเยื่อ
348,N33.0,Tuberculous cystitis,กระเพาะปัสสาวะอักเสบจากวัณโรค,กระเพำะปัสสำวะอักเสบจำกวัณโรค (A18.1+)
349,N74.0,Tuberculous infection of cervix uteri,วัณโรคที่ปากมดลูก,วัณโรคที่ปำกมดลูก (A18.1+)
350,N74.1,Female tuberculous pelvic inflammatory,การอักเสบในอุ้งเชิงกรานสตรีจากเชื้อวัณโรค,กำรอักเสบในอุ้งเชิงกรำนสตรีจำกเชื้อวัณโรค
351,U84.3,Resistance to tuberculostatic drug(s),วัณโรคดื้อยา Rifampicin (Confirmed RR-TB),วัณโรคดื้อยำ Rifampicin U84.3 (Confirmed RR-
352,U84.7,Resistance to multiple antimicrobial drugs,วัณโรคดื้อยาหลายขนาน (Confirmed MDR-TB),วัณโรคดื้อยำหลำยขนำน U84.7 (Confirmed
401,W53,W53 : Rodent bite,บาดเจ็บจากการถูกสุนัข แมว สัตว์เลี้ยงลูกด้วยนมกัด,บำดเจ็บจำกกำรถูกสุนัข แมว สัตว์เลี้ยงลูกด้วยนม
402,Z20.3,Contact with and exposure to suspected,ผู้สัมผัสสัตว์สงสัยโรคพิษสุนัขบ้า,ผู้สัมผัสสัตว์สงสัยโรคพิษสุนัขบ้ำ
403,Z24.2,Rabies vaccine,การใช้วัคซีนป้องกันโรคพิษสุนัขบ้า,กำรใช้วัคซีนป้องกันโรคพิษสุนัขบ้ำ
501,T67.0XXA:,"Heatstroke and sunstroke, initial encounter",โรคลมแดด,
502,,,งูกัด,
503,J68.0,Bronchitis and pneumonitis due to,ภาวะผิดปกติของปอดที่เกี่ยวข้องกับการสูบบุหรี่ไฟฟ้า,โรคหลอดลมอักเสบและปอดอักเสบ
601,B18.0,Chronic viral hepatitis B with delta,โรคไวรัสตับอักเสบ บี เรื้อรัง,ตับอักเสบ บี แบบเรื้อรัง มีเดลตำ-เอเจนต์     โรคไวรัสตับ
602,B18.2,Chronic viral hepatitis C,โรคไวรัสตับอักเสบ ซี เรื้อรัง,ตับอักเสบ ซี แบบเรื้อรัง                    โรคไวรัสตับ
603,O984,Viral hepatitis complicating,โรคไวรัสตับอักเสบในภาวะตั้งครรภ์,โรคติดเชื้อไวรัสตับอักเสบแทรกซ้อน           โรคไวรัสตับ
604,P353,Congenital viral hepatitis,โรคไวรัสตับอักเสบแต่กำเนิด(จากแม่สู่ลูก),กำรติดเชื้อไวรัสตับอักเสบแต่กำเนิด          โรคไวรัสตับ
605,,,(ไม่ใช่รหัสโรคเฝ้าระวัง — ระเบียนรอแก้ไข ICD-10 ไม่ถูกต้อง: กลุ่มรหัสวัคซีน/ภูมิคุ้มกัน Z23–Z27; ไม่อยู่ในข้อมูลที่อนุมัติแล้ว),
